K K KINGSTON LIMITED                         * *  WIP-JOURNAL MPC  * *                    06072020 09:58:15 Page   1
                                TRANSACTION NO. : 000562396 BOOK ENTRY DATE : 05-07-20
                                                 Currency Code : PGK
COMPANY 01 FIN.YEAR 20===============================================================================/Scala/MP0632/6
TRANS-    TRANSDAT ACC    CC     PRD    PRJ                  AMOUNT TEXT--------------------- WORK.C WO-NO-----
====================================================================================================================
                   001021 60     ACBBOT                      35.08- 14-05-0070                       0000864774
000547635 05-07-20 001049                                    35.08  14-05-0070                       0000864774
                   001021 60     ACBBOT                      35.08- 14-05-0070                       0000864774
000547636 05-07-20 001049                                    35.08  14-05-0070                       0000864774
                   001021 60     ACBBOT                      35.08- 14-05-0070                       0000864774
000547637 05-07-20 001049                                    35.08  14-05-0070                       0000864774
                   001021 60     ACBBOT                      35.08- 14-05-0070                       0000864774
000547649 05-07-20 001049                                     0.95  10-06-0230                       0000864774
                   001021 60     ACBBOT                       0.95- 10-06-0230                       0000864774
000547650 05-07-20 001049                                     0.95  10-06-0230                       0000864774
                   001021 60     ACBBOT                       0.95- 10-06-0230                       0000864774
000547651 05-07-20 001049                                     0.95  10-06-0230                       0000864774
                   001021 60     ACBBOT                       0.95- 10-06-0230                       0000864774
000547652 05-07-20 001049                                     0.95  10-06-0230                       0000864774
                   001021 60     ACBBOT                       0.95- 10-06-0230                       0000864774
000547653 05-07-20 001049                                     0.95  10-06-0230                       0000864774
                   001021 60     ACBBOT                       0.95- 10-06-0230                       0000864774
000547665 05-07-20 001049                                  1270.08  TL3000 DC                 36     0000864774
                   350000 60                               1270.08- TL3000 DC                 36     0000864774
000547666 05-07-20 001049                                  1270.08  TL3000 DC                 36     0000864774
                   350000 60                               1270.08- TL3000 DC                 36     0000864774
000547667 05-07-20 001049                                  1270.08  TL3000 DC                 36     0000864774
                   350000 60                               1270.08- TL3000 DC                 36     0000864774
000547668 05-07-20 001049                                  1270.08  TL3000 DC                 36     0000864774
                   350000 60                               1270.08- TL3000 DC                 36     0000864774
000547669 05-07-20 001049                                  1270.08  TL3000 DC                 36     0000864774
